t_s,P_feed_bar,P_draw_bar,Q_feed_L_min,Q_draw_L_min,cond_feed_mS_cm,cond_draw_mS_cm,T_feed_C,T_draw_C,P_elec_W,test_id,phase,us_on,us_phase_coherent,omega_rpm,P_us_W,P_pump_W,P_spin_motor_W,P_net_W,iso_time
5.548399894905742e-05,0.5000002774199948,34.00000396314278,2.000002219359958,0.15000006935499868,8.0,85.0,22.0,23.0,1.660000416129992,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.21000041612999187,2026-06-10T03:58:53.869337+00:00
1.0002103189999616,0.5049927171726423,34.071200734616504,2.03974211118876,0.1512470081809478,8.0,85.0,22.0,23.0,1.667498450811357,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.2174984508113572,2026-06-10T03:58:54.869511+00:00
2.000438614999439,0.5099356158897047,34.140951485341745,2.077899827808734,0.15247457081322813,8.0,85.0,22.0,23.0,1.6749782856715583,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.2249782856715582,2026-06-10T03:58:55.869743+00:00
3.000643637999019,0.5147790847567898,34.20782774287559,2.1129497424378387,0.1536634739165851,8.0,85.0,22.0,23.0,1.682420492939217,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.23242049293921696,2026-06-10T03:58:56.869976+00:00
4.000920405000215,0.519475155778675,34.27047240287981,2.143496865842499,0.15479526501853244,8.0,85.0,22.0,23.0,1.6898071650240412,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.2398071650240411,2026-06-10T03:58:57.870223+00:00
5.001120114999139,0.5239761917467739,34.32759939550973,2.1683184007670198,0.155852108136992,8.0,85.0,22.0,23.0,1.6971187335299958,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.24711873352999592,2026-06-10T03:58:58.870418+00:00
6.001323763999608,0.5282375861702459,34.37804957124289,2.1864269977061963,0.15681759823613922,8.0,85.0,22.0,23.0,1.7043375157024847,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.25433751570248486,2026-06-10T03:58:59.870623+00:00
7.001557817000503,0.5322168413918249,34.42079560285023,2.197100527539777,0.15767668307158494,8.0,85.0,22.0,23.0,1.711445646243144,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.26144564624314415,2026-06-10T03:59:00.870855+00:00
8.001771900999302,0.5358739764584577,34.454963965687426,2.199912638508657,0.15841590634441455,8.0,85.0,22.0,23.0,1.718424991333756,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.2684249913337561,2026-06-10T03:59:01.871069+00:00
9.001975123999728,0.5391724835012062,34.479858949263416,2.19475156088734,0.15902374019984994,8.0,85.0,22.0,23.0,1.7252581685086208,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.27525816850862095,2026-06-10T03:59:02.871275+00:00
